G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
588 169 23.2 0.536 0.059 0.728 2.3 3.8 6.1 0.9 0.5 0.6 1.1 3.1 7.1 2
421 74 13.4 0.439 0.382 0.783 0.7 1.9 2.6 0.6 0.3 0.3 0.6 1.9 5.5 2
145 124 29.4 0.439 0.156 0.694 3.3 6.3 9.7 2.1 1.2 1.0 3.0 4.1 15.9 2
525 411 24.9 0.545 1.000 0.643 1.8 3.4 5.2 0.5 0.3 0.7 2.2 3.0 13.0 2
727 582 25.8 0.518 0.000 0.704 2.7 5.5 8.2 0.5 0.5 1.9 1.5 3.1 8.0 2
987 771 24.3 0.498 0.125 0.626 2.8 4.3 7.1 0.8 0.3 1.4 1.4 2.9 7.4 2
338 44 21.4 0.443 0.158 0.706 1.6 2.8 4.3 0.8 0.7 0.3 1.0 2.5 7.9 2
680 468 30.1 0.492 0.333 0.708 1.4 3.5 4.9 4.0 0.7 0.6 2.0 2.4 9.5 2
579 92 14.1 0.430 0.200 0.468 1.4 2.3 3.7 0.4 0.4 1.1 0.6 2.1 2.0 2
69 17 13.4 0.546 0.000 0.594 0.8 1.9 2.8 0.4 0.4 0.4 0.7 2.4 3.8 2
143 36 20.4 0.508 0.000 0.624 2.3 3.6 5.9 0.6 0.5 0.9 1.3 2.7 7.7 2
135 7 8.2 0.496 0.000 0.410 0.7 1.3 2.0 0.3 0.1 0.4 0.5 1.7 2.3 2
764 345 20.6 0.497 0.130 0.615 2.8 4.1 6.9 0.9 0.7 0.4 0.8 2.5 4.9 2
500 258 23.9 0.445 0.390 0.814 1.2 4.0 5.2 1.0 0.5 0.7 1.0 2.9 9.7 2
527 164 14.8 0.500 0.000 0.498 1.7 2.7 4.4 0.4 0.5 0.8 0.7 2.4 4.7 2
1255 1218 36.5 0.499 0.283 0.790 2.4 8.2 10.6 4.0 1.3 1.5 2.3 2.5 19.3 2
